Maximum fit for each generation: 
Best fit for generation 965: 2170
Best fit for generation 966: 2170
Best fit for generation 967: 2170
Best fit for generation 968: 2170
Best fit for generation 969: 2170
Best fit for generation 970: 2170
Best fit for generation 971: 2170
Best fit for generation 972: 2170
Best fit for generation 973: 2170
Best fit for generation 974: 2170
Best fit for generation 975: 2170
Best fit for generation 976: 2170
Best fit for generation 977: 2170
Best fit for generation 978: 2170
Best fit for generation 979: 2170
Best fit for generation 980: 2170
Best fit for generation 981: 2170
Best fit for generation 982: 2170
Best fit for generation 983: 2170
Best fit for generation 984: 2170
Best fit for generation 985: 2170
Best fit for generation 986: 2170
Best fit for generation 987: 2170
Best fit for generation 988: 2170
Best fit for generation 989: 2170
Best fit for generation 990: 2170
Best fit for generation 991: 2170
Best fit for generation 992: 2170
Best fit for generation 993: 2170
Best fit for generation 994: 2170
